Index,d,phi,temp,baseVis,nanoVis,Ypredicted
1,43,2,25,0.89008,1.083803,1.0544817
2,21,2,37.44885,0.688618,1.086992,0.98818696
1,47,4,36.21795,0.702187,1.087307,1.107496
4,33,1.158477509,20,1.0016,1.090385,1.1192323
1,36,1,22.92818,0.933744,1.091941,1.0392734
1,36,7,54.14365,0.510925,1.091941,1.1292468
1,36,4.5,33.14917,0.746713,1.091941,1.1889393
3,12,0.45,19.88941,0.994526,1.094891,1.018462
4,29,1,22.42551071,0.944863,1.095417,1.0386459
4,11,1.15744186,35,0.71932,1.095793,1.0326773
1,43,2.900256,30,0.79735,1.096283,1.0606828
1,100,4,30,0.79735,1.098075,1.1486344
3,12,2.28543133,72,0.39307,1.098588,1.0514065
2,27,0.99,19.76533,1.00742,1.098681,1.0119535
2,27,2.04,24.85917,0.892961,1.098848,1.0756265
1,32,0.268852,20,1.0016,1.101818,1.0457629
1,32,0.980328,25,0.89008,1.105455,1.0051109
1,43,1.400256,20,1.0016,1.118584,1.0608406
1,13,1.3,32,0.76456,1.119865,1.0203303
1,36,1,22.81768,0.936182,1.121546,1.0412749
1,13,1.34,32,0.76456,1.123819,1.0371858
4,29,1,21.84219829,0.958037,1.124877,1.0557249
2,21,1,22.77494,0.936585,1.127642,1.0069151
3,12,1.152165531,32,0.76456,1.128809,1.0832195
1,11,1.454219,23,0.93216,1.129769,1.4394557
4,33,1.70449827,20,1.0016,1.132692,1.2076064
4,11,1.686976744,50,0.54685,1.134628,1.02663
1,25,2,25.1166,0.887739,1.135243,1.269622
1,43,0,15,1.1375,1.135929,1.0763493
1,36,7,50.99448,0.53785,1.136349,1.1922224
4,11,0,15,1.1375,1.137864,1.1554711
1,32,0,15,1.1375,1.138182,1.1575394
4,33,0,15,1.1375,1.138462,1.0903729
4,29,4.5,43.03002372,0.617486,1.139607,1.2293111
1,100,6,35,0.71932,1.140045,1.2032244
3,12,1.85,45.0291,0.574818,1.140511,1.1520145
4,11,0.563023256,20,1.0016,1.1411,1.1122104
1,30,1.5,40,0.65298,1.143659,0.9131692
4,33,0.155709343,15,1.1375,1.144231,1.1129819
1,95,1,22,0.95442,1.144983,1.0746979
2,27,2.04,19.76862,1.007338,1.147861,1.1879638
2,21,3,55,0.509756,1.147967,1.2551535
1,43,0.126598,15,1.1375,1.148319,1.0871944
1,36,3.058321,25,0.89008,1.148694,1.3054658
4,11,0.812093023,25,0.89008,1.150809,1.0601829
1,25,2,25,0.89008,1.151747,1.2739019
4,33,0.276124567,15,1.1375,1.151923,1.13162
1,36,4.5,30.55249,0.788072,1.158553,1.2550229
1,32,0.554098,20,1.0016,1.16,1.0648466
1,43,0.264706,15,1.1375,1.160708,1.0990276
1,47,2.034139,25,0.89008,1.161309,1.0310457
1,30,0.5,19.90451,1.003968,1.162897,1.0676255
4,11,0.159069767,15,1.1375,1.16699,1.1775172
2,21,2,33.70844,0.737398,1.168293,1.0657934
1,47,4,34.04832,0.73319,1.172213,1.1711223
2,21,1,20.9335,0.973171,1.172358,1.0359114
2,21,0.2,15,1.1375,1.172465,1.0874554
4,33,0.398615917,15,1.1375,1.175,1.1505797
1,43,0.548593,15,1.1375,1.175575,1.1231667
